NAME,geoid,DR_COUNT,EM_COUNT,ihProgramDeclared,paProgramDeclared,femaDeclarationString_EM,femaDeclarationString_DR,POPUNI_23,PRED0_E_23,PRED0_M_23,PRED0_PE_23,PRED0_PM_23,PRED12_E_23,PRED12_M_23,PRED12_PE_23,PRED12_PM_23,PRED3_E_23,PRED3_M_23,PRED3_PE_23,PRED3_PM_23,COAST_CTY,PCT3_23,PCT3_LB_23,PCT3_UB_23,PCT3_ST_23,PCT3_ST_LB_23,PCT3_ST_UB_23,HRCN_PCT3_23,HRCN_PCT3_LB_23,HRCN_PCT3_UB_23,POPESTIMATE2024,Total_Pop_E_23,Total_Pop_M_23,HSE_Units_E_23,HSE_Units_M_23,HSE_Occ_E_23,HSE_Occ_M_23,HSE_Occ_PE_23,HSE_Occ_PM_23,Own_E_23,Own_M_23,Own_PE_23,Own_PM_23,Rent_E_23,Rent_M_23,Rent_PE_23,Rent_PM_23,DEP_Ratio_E_23,DEP_Ratio_M_23,HHLD_SSI_E_23,HHLD_SSI_M_23,HHLD_SSI_PE_23,HHLD_SSI_PM_23,HHLD_Cash_Assist_E_23,HHLD_Cash_Assist_M_23,HHLD_Cash_Assist_PE_23,HHLD_Cash_Assist_PM_23,HHLD_SNAP_E_23,HHLD_SNAP_M_23,HHLD_SNAP_PE_23,HHLD_SNAP_PM_23,HHLD_ASSIST_or_SNAP_PE_23,HHLD_ASSIST_or_SNAP_PM_23,Under_18_E_23,Under_18_M_23,Under_18_PE_23,Under_18_PM_23,65_plus_E_23,65_plus_M_23,65_plus_PE_23,65_plus_PM_23,Disability_E_23,Disability_M_23,Disability_PE_23,Disability_PM_23,ENG_LVW_E_23,ENG_LVW_M_23,ENG_LVW_PE_23,ENG_LVW_PM_23,RURAL_POP_DEC_2020,TOTAL_POP_DEC_2020,HOUSEHOLDS_DEC_2020,MULTIGEN_DEC_2020,ALAND,RURAL_POP_P_DEC_2020,MULTIGEN_P_DEC_2020,POP_DENSITY_DEC_2020,RURAL_POP_PF_DEC_2020,SAEMHI_PT_23,SAEMHI_MOE_23,SAEPOVALL_PT_23,SAEPOVALL_MOE_23,SAEPOVRTALL_PT_23,SAEPOVRTALL_MOE_23,SAEPOVU_ALL_23,UNEMP_PE_M01_24,UNEMP_M01_24,LABOR_FORCE_M01_24,UNEMP_PE_M02_24,UNEMP_M02_24,LABOR_FORCE_M02_24,UNEMP_PE_M03_24,UNEMP_M03_24,LABOR_FORCE_M03_24,UNEMP_PE_M04_24,UNEMP_M04_24,LABOR_FORCE_M04_24,UNEMP_PE_M05_24,UNEMP_M05_24,LABOR_FORCE_M05_24,UNEMP_PE_M06_24,UNEMP_M06_24,LABOR_FORCE_M06_24,UNEMP_PE_M07_24,UNEMP_M07_24,LABOR_FORCE_M07_24,UNEMP_PE_M08_24,UNEMP_M08_24,LABOR_FORCE_M08_24,UNEMP_PE_M09_24,UNEMP_M09_24,LABOR_FORCE_M09_24,UNEMP_PE_M10_24,UNEMP_M10_24,LABOR_FORCE_M10_24,UNEMP_PE_M11_24,UNEMP_M11_24,LABOR_FORCE_M11_24,UNEMP_PE_M12_24,UNEMP_M12_24,LABOR_FORCE_M12_24,UNEMP_PE_M01_25,UNEMP_M01_25,LABOR_FORCE_M01_25,UNEMP_PE_M02_25,UNEMP_M02_25,LABOR_FORCE_M02_25,UNEMP_PE_M03_25,UNEMP_M03_25,LABOR_FORCE_M03_25,UNEMP_PE_M04_25,UNEMP_M04_25,LABOR_FORCE_M04_25,UNEMP_PE_M05_25,UNEMP_M05_25,LABOR_FORCE_M05_25,UNEMP_PE_M06_25,UNEMP_M06_25,LABOR_FORCE_M06_25,HSE_Occ_PF_23,Own_PF_23,Rent_PF_23,PRED0_PF_23,PRED12_PF_23,PRED3_PF_23,DEP_Ratio_F_23,HHLD_SSI_PF_23,HHLD_Cash_Assist_PF_23,HHLD_SNAP_PF_23,HHLD_ASSIST_or_SNAP_PF_23,Under_18_PF_23,65_plus_PF_23,Disability_PF_23,ENG_LVW_PF_23,MAX_OUTAGE,total_customers,Run Start Time,MAX_OUTAGE_RUN_START_TIME,MAX_PERCENTAGE_OUT,Wind_Swath_Mode,Wind_Swath_Max,totPrecip,femaDeclarationString_IA,incidentType,disasterNumber,damagedStateAbbreviation,utilitiesOut,accessFunctionalNeeds,destroyed,validReg,ihpReferral,haReferral,onaReferral,ihpEligible,haEligible,onaEligible,habitabilityRepairsRequired,haMax,ihOwners,haEligibleOwners,onaEligibleOwners,haMaxOwners,validReg_Prop,haEligible_Prop,onaEligible_Prop,ihOwners_P,haEligible_Owners_P,onaEligible_Owners_P,haMax_Owners_P
"Autauga County, Alabama",01001,0,1,0,1,EM-3618-AL,None,60183,23534,2790,39.1,4.64,24255,2851,40.3,4.74,12394,2306,20.59,3.83,No,36.91,15.55,63.1,7.46,2.98,32.83,-888888888,-888888888,-888888888,61464,59285,-555555555,24731,58,22523,431,91.1,1.7,16872,638,74.9,2.4,5651,552,25.1,2.4,65.2,0.6,1242,301,5.5,1.3,151,88,0.7,0.4,1974,276,8.8,1.2,9.2,1.3,13926,42,23.5,0.1,9474,116,16,0.2,9164,616,15.8,1.1,596,302,1.1,0.5,23920,58805,22412,1070,1539631459,40.7,4.8,98.92,1,68857,6190,7004,1405,11.7,2.4,59771,2.6,717,28113,2.7,775,28188,2.4,671,28369,2,581,28419,2.1,607,28343,2.9,829,28490,3,871,28591,3.1,889,28603,2.8,796,28608,2.8,811,28609,2.9,836,28639,2.8,799,28630,3,850,28697,3,859,28913,2.9,844,28986,2.3,679,29146,2.4,691,28951,2.6,742,28950,0,1,-1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,413,29666,2024-09-29 17:30:00+00:00,2024-09-29 17:30:00+00:00,1.4,-888888888,-888888888,0.7,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Baldwin County, Alabama",01003,0,1,0,1,EM-3618-AL,None,251949,91386,7887,36.27,3.13,107840,8199,42.8,3.25,52723,6888,20.93,2.73,Yes,38.93,23.18,58.49,10.45,4.48,28.36,39.21,23.63,59.58,261608,239945,-555555555,128518,178,94642,1316,73.6,1,73381,1526,77.5,1.4,21261,1446,22.5,1.4,74.5,0.1,4040,644,4.3,0.7,843,226,0.9,0.2,6480,848,6.8,0.9,7.3,0.9,51128,-555555555,21.3,-555555555,51326,65,21.4,0.1,31951,1867,13.5,0.8,4660,660,2,0.3,87113,231767,93116,3765,4117781416,37.6,4,145.78,1,74248,5202,24942,3970,10,1.6,249802,2.9,3290,113152,2.9,3340,113544,2.5,2928,115392,2.1,2474,115626,2.1,2453,116569,2.8,3347,118356,2.9,3490,119577,3.1,3686,118098,2.8,3263,117136,2.8,3307,117918,2.9,3415,117132,3,3463,117329,3.1,3623,115966,3.2,3683,116733,3.1,3617,117104,2.4,2881,118584,2.5,2944,118402,2.7,3193,119256,-1,1,-1,0,0,0,1,-1,-1,-1,-1,-1,1,0,-1,913,153485,2024-10-03 18:30:00+00:00,2024-10-03 18:30:00+00:00,0.6,-888888888,-888888888,0.1,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Barbour County, Alabama",01005,0,1,0,1,EM-3618-AL,None,22085,4988,1080,22.59,4.89,9758,1204,44.18,5.45,7339,1123,33.23,5.08,No,95.28,80.69,97.73,89.54,61.19,95.51,-888888888,-888888888,-888888888,24358,24757,-555555555,11702,43,9080,315,77.6,2.7,6128,347,67.5,2.8,2952,265,32.5,2.8,68.5,0.5,882,158,9.7,1.8,168,65,1.9,0.7,2013,317,22.2,3.4,22.8,3.4,5181,23,20.9,0.1,4881,36,19.7,0.1,3991,445,18.4,2.1,604,274,2.6,1.2,16627,25223,9677,466,2292160151,65.9,4.8,28.5,2,45298,4767,5585,1319,25.5,6,21863,4.7,406,8572,5.1,431,8426,4.2,353,8436,3.3,286,8539,3.3,277,8496,4.5,394,8726,4.4,390,8861,4.6,404,8732,4.3,378,8789,4.2,374,8825,4.6,401,8792,4.2,375,8893,4.3,372,8669,4.4,374,8583,4.4,376,8532,3.4,296,8612,3.5,296,8467,4,345,8639,-1,0,0,-1,0,1,1,1,-1,1,1,-1,1,1,-1,304,16681,2024-09-27 11:00:00+00:00,2024-09-27 11:00:00+00:00,1.8,34,34,5.7,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Bibb County, Alabama",01007,0,1,0,1,EM-3618-AL,None,20223,6880,1051,34.02,5.2,8050,1109,39.81,5.48,5293,967,26.17,4.78,No,74.32,43.63,89.02,44.77,14.92,76.11,-888888888,-888888888,-888888888,22258,22152,-555555555,9090,101,7571,288,83.3,2.9,5843,345,77.2,4,1728,316,22.8,4,58.9,1.3,606,220,8,2.9,383,137,5.1,1.8,1535,336,20.3,4.2,21.9,4.1,4458,30,20.1,0.1,3756,113,17,0.5,4163,522,20,2.5,298,180,1.4,0.9,22293,22293,7927,411,1612188713,100,5.2,35.81,3,56025,6562,3870,758,19.4,3.8,19934,2.9,253,8615,3.2,280,8684,2.8,243,8694,2.2,193,8680,2.3,201,8664,3.2,279,8742,3.4,298,8795,3.3,293,8755,3,265,8706,3.2,280,8727,3.5,303,8741,3.2,278,8715,3.5,303,8727,3.5,304,8794,3.3,289,8811,2.5,218,8843,2.7,239,8787,3,264,8817,-1,1,-1,0,0,1,-1,0,1,1,1,-1,0,1,-1,217,11622,2024-09-26 04:15:00+00:00,2024-09-26 04:15:00+00:00,1.9,-888888888,-888888888,0.5,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Blount County, Alabama",01009,0,1,0,1,EM-3618-AL,None,59729,18973,2245,31.77,3.76,26090,2367,43.68,3.96,14666,2036,24.55,3.41,No,65.28,42.14,80.02,25.37,13.43,59.7,-888888888,-888888888,-888888888,60163,59292,-555555555,24793,42,21977,403,88.6,1.6,17473,543,79.5,2.1,4504,468,20.5,2.1,71.7,0.8,1940,353,8.8,1.6,447,151,2,0.7,2706,460,12.3,2,13.5,2.2,13738,103,23.2,0.2,11019,155,18.6,0.3,11009,754,18.7,1.3,1939,327,3.5,0.6,53510,59134,22367,1080,1670259099,90.5,4.8,91.7,2,64962,5949,7590,1469,12.8,2.5,59237,2.8,740,26692,2.8,747,26655,2.5,656,26638,2.1,549,26695,2.1,548,26730,2.8,741,26945,2.9,792,27263,3.1,845,27059,2.7,731,26996,2.7,733,27134,2.8,764,27069,2.8,764,27179,3,812,26916,3,819,26996,3,819,27027,2.3,628,27268,2.3,633,27027,2.5,678,27173,0,1,-1,0,0,1,1,1,0,0,0,1,1,1,-1,293,32338,2024-09-29 14:00:00+00:00,2024-09-29 14:00:00+00:00,0.9,-888888888,-888888888,1.1,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Bullock County, Alabama",01011,0,1,0,1,EM-3618-AL,None,8406,1843,609,21.92,7.24,3469,699,41.27,8.32,3094,672,36.81,7.99,No,97.95,82.91,99.45,94.02,65.67,99.99,-888888888,-888888888,-888888888,9901,10157,-555555555,4554,29,3453,245,75.8,5.3,2193,222,63.5,5.1,1260,204,36.5,5.1,62.9,0.1,467,150,13.5,4.5,6,9,0.2,0.3,1137,265,32.9,6.6,32.9,6.6,2105,-555555555,20.7,-555555555,1817,21,17.9,0.4,1411,381,15.4,4.2,221,140,2.3,1.5,10357,10357,3928,231,1613084322,100,5.9,16.63,3,36204,4806,2779,617,33.6,7.5,8273,3.1,127,4163,3.6,150,4168,2.8,116,4172,2.3,98,4197,2.7,111,4124,4,167,4147,4.7,199,4209,4.6,192,4198,4.3,182,4232,4.2,179,4235,4.3,181,4216,4.1,173,4228,4,169,4195,4.1,171,4194,3.9,164,4207,3.3,140,4228,3.2,132,4168,3.6,151,4206,-1,0,0,-1,0,1,-1,1,-1,1,1,-1,1,0,-1,93,9237,2024-09-28 09:15:00+00:00,2024-09-28 09:15:00+00:00,1,-888888888,-888888888,4.3,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Butler County, Alabama",01013,0,1,0,1,EM-3618-AL,None,18338,4389,937,23.93,5.11,8283,1035,45.17,5.64,5666,965,30.9,5.26,No,91.05,69.74,96.4,77.6,41.79,92.53,-888888888,-888888888,-888888888,18256,18807,-555555555,9841,60,7262,313,73.8,3.3,4968,263,68.4,2.8,2294,245,31.6,2.8,78.1,1.3,766,167,10.5,2.2,94,57,1.3,0.8,1189,221,16.4,2.9,17,3,4219,57,22.4,0.3,4026,62,21.4,0.3,3048,325,16.5,1.8,107,84,0.6,0.5,13228,19051,8170,392,2012002549,69.4,4.8,24.52,2,44729,4537,4263,794,23.6,4.4,18089,3.9,317,8181,4.1,330,8043,3.6,283,7963,3.1,248,7937,3.1,243,7846,4.3,344,7986,4.5,361,8081,4.2,338,8044,3.6,293,8044,3.8,309,8063,3.9,316,8019,4.1,329,8077,4.3,342,8021,4.5,358,8018,4.4,354,8115,3.4,274,8153,3.3,268,8044,3.7,301,8139,-1,1,-1,-1,0,1,1,1,-1,1,1,0,1,1,-1,136,11652,2024-10-01 18:30:00+00:00,2024-10-01 18:30:00+00:00,1.2,-888888888,-888888888,1.4,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Calhoun County, Alabama",01015,0,1,0,1,EM-3618-AL,None,111571,35242,4205,31.59,3.77,46457,4421,41.64,3.96,29872,3804,26.77,3.41,No,77.28,56.77,87.08,50.74,25.37,73.13,-888888888,-888888888,-888888888,116427,116141,-555555555,53271,79,45125,708,84.7,1.4,31762,814,70.4,1.8,13363,877,29.6,1.8,65,0.3,3309,462,7.3,1,836,227,1.9,0.5,7764,656,17.2,1.4,17.9,1.4,24829,32,21.4,0.1,20939,117,18,0.1,23366,1013,20.4,0.9,1661,400,1.5,0.4,42494,116441,46437,2122,1569256885,36.5,4.6,192.18,1,51841,3686,22174,2890,20.1,2.6,110366,3.3,1615,49024,3.4,1677,49117,2.9,1421,49332,2.4,1209,49396,2.4,1201,49076,3.3,1650,49457,3.7,1822,49862,3.8,1899,50053,3.3,1672,49926,3.4,1678,50063,3.5,1764,49997,3.4,1708,49948,3.7,1828,49949,3.7,1867,50313,3.7,1881,50471,3.1,1583,50827,3,1515,50407,3.3,1684,50382,-1,1,-1,0,0,1,1,1,-1,1,1,-1,1,1,-1,1663,59736,2024-09-27 14:15:00+00:00,2024-09-27 14:15:00+00:00,2.8,-888888888,-888888888,2.8,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Chambers County, Alabama",01017,0,1,0,1,EM-3618-AL,None,33648,9578,1640,28.47,4.87,14968,1790,44.48,5.32,9102,1648,27.05,4.9,No,78.65,48.88,90.99,55.22,17.91,80.59,-888888888,-888888888,-888888888,33813,34450,-555555555,16427,39,13419,476,81.7,2.9,9526,520,71,3,3893,434,29,3,68.7,0.7,1188,267,8.9,2,139,72,1,0.5,2300,406,17.1,2.9,17.3,2.9,7141,20,20.7,0.1,6884,81,20,0.2,7060,550,20.8,1.6,481,164,1.5,0.5,17645,34772,14238,832,1545068607,50.7,5.8,58.29,2,50390,5830,5661,1365,17.1,4.1,33149,3.2,565,17756,2.9,515,17753,2.5,449,17859,2.1,385,17972,2.2,399,18034,2.9,519,18182,3.3,602,18204,3.1,574,18355,2.7,493,18350,2.8,518,18424,2.9,527,18362,2.8,525,18447,2.9,540,18385,3,553,18517,3.2,593,18577,2.6,492,18681,2.6,475,18498,2.8,524,18507,-1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,1,-1,261,16569,2024-09-27 12:45:00+00:00,2024-09-27 12:45:00+00:00,1.6,-888888888,-888888888,6.4,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Cherokee County, Alabama",01019,0,1,0,1,EM-3618-AL,None,25548,6857,1225,26.84,4.79,11720,1302,45.87,5.1,6971,1156,27.29,4.52,No,79.95,52.89,90.74,59.7,22.39,80.59,-888888888,-888888888,-888888888,26138,25224,-555555555,14663,61,10477,416,71.5,2.8,8324,431,79.5,3,2153,336,20.5,3,74.3,0.8,598,182,5.7,1.7,199,106,1.9,1,1200,246,11.5,2.3,11.6,2.3,4747,19,18.8,0.1,6003,66,23.8,0.3,4887,511,19.6,2,329,194,1.4,0.8,24971,24971,10411,463,1433614765,100,4.4,45.11,3,56400,5772,3949,907,15.6,3.6,25341,3.5,362,10283,3.2,328,10214,2.9,296,10284,2.5,253,10252,2.4,247,10260,3.1,325,10321,3.4,354,10340,3.5,355,10222,3,313,10392,3.1,321,10390,3.2,326,10329,3,316,10382,3.2,329,10332,3.4,348,10359,3.2,332,10532,2.5,270,10609,2.7,285,10593,3.1,327,10670,-1,1,-1,-1,0,1,1,0,0,0,0,-1,1,1,-1,42,24821,2024-09-27 08:30:00+00:00,2024-09-27 08:30:00+00:00,0.2,-888888888,-888888888,3.6,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
